"Cyberincidentnum","Dyadpair","StateA","StateB","Name","interactionstartdate","interactionenddate","method","targettype","initiator","cyber_objective","information_operation","objective_achievement","Concession","3rdpartyinitiator","severity","damage type","Crit Inf","Supply Ch","Ransomware","Political Objective","Sources1","Sources2","Sources3","Sources4","Sources5","Justice","Cert","FBI"
1,2365,"US","Russia","Regin malware campaign",2008-02-01,2011-03-01,3,2,2,3,0,1,0,1,4,2,13,1,0,"Publically available sources claim that Reign malware sophisticated NSA backdoor, known to have infected Russian government networks and steal sensitive information","https://www.symantec.com/content/dam/symantec/docs/security-center/white-papers/regin-top-tier-espionage-tool-15-en.pdf","https://www.zdnet.com/article/infamous-regin-malware-linked-to-spy-tools-used-by-nsa-five-eyes-intelligence/","https://www.spiegel.de/international/world/regin-malware-unmasked-as-nsa-tool-after-spiegel-publishes-source-code-a-1015255.html",NA,NA,NA,NA,NA
2,2365,"US","Russia","QWERTY keystroke log",2008-02-01,2011-03-11,4.4,2,2,2,0,1,0,1,4,2,3,1,0,"Publically available sources claim that Part of the Reign campaign, this sophisticated keystroke program was able to steal passwords and access secure networks","https://www.csoonline.com/article/2875739/microsoft-subnet/researchers-link-qwerty-keylogger-code-to-nsa-and-five-eyes-regin-espionage-malware.html","https://www.zdnet.com/article/infamous-regin-malware-linked-to-spy-tools-used-by-nsa-five-eyes-intelligence/","https://www.networkworld.com/article/2876113/link-between-nsa-and-regin-cyberespionage-malware-becomes-clearer.html",NA,NA,NA,NA,NA
3,2365,"US","Russia","Duke Series_A",2008-04-08,2015-09-17,4.2,2,365,3,0,1,0,0,4,2,11,1,0,"Access networks of geopolitical interest to Russia","https://www.f-secure.com/documents/996508/1030745/dukes_whitepaper.pdf",NA,NA,NA,NA,NA,NA,NA
4,2365,"US","Russia","US govt employee in Georgia hacked",2008-08-06,2008-08-12,4.2,2,365,1,1,1,0,0,3,1,13,0,0,"To distract US diplomats in Tiblisi during the Five Day Russo-Georgian War of 2008.","http://www.ismlab.usf.edu/isec/files/Georgia-Cyber-Attack-NATO-Aug-2008.pdf","https://www.wired.com/2008/08/georgia-under-o/",NA,NA,NA,NA,NA,NA
5,2365,"US","Russia","Agent.bz/CENTCOM",2008-10-01,2008-10-15,3,3,365,3,0,1,0,0,4,1,6,0,0,"Retaliation for the US missile defense system in Europe; penetrate US defense networks","https://www.wired.com/2010/08/insiders-doubt-2008-pentagon-hack-was-foreign-spy-attack/",NA,NA,NA,NA,NA,NA,NA
7,2365,"US","Russia","Sandworm_A",2009-01-01,2014-10-14,3,2,365,3,0,1,0,0,4,2,1,0,0,"Network intrusion (zero day exploit)","https://www.wired.com/story/russian-hacking-teams-infrastructure/","https://news.sky.com/story/russia-cyber-attacks-what-we-know-so-far-11517151",NA,NA,NA,NA,NA,NA
8,2365,"US","Russia","Power grid hacked, traced to Russia",2009-08-24,2009-08-24,4.2,1,365,4,0,0,0,1,1,1,8,1,0,"To seek a potential vulnerability, or weak point, in the US power grid to exploit, Capability demonstration","https://www.bbc.com/news/technology-44937787","https://www.nytimes.com/2018/07/27/us/politics/russian-hackers-electric-grid-elections-.html",NA,NA,NA,NA,NA,NA
9,2365,"US","Russia","Russian Info Swipe_A",2011-01-01,2014-07-01,3,1,365,2,0,1,0,0,3,2,8,1,0,"Russia hacks and steals sensitive information from defense contractors in US and Canada and multiple oil company Exxon Mobi and UK's BP","https://www.symantec.com/blogs/threat-intelligence/dragonfly-energy-sector-cyber-attacks",NA,NA,NA,NA,NA,NA,NA
10,2365,"US","Russia","Yahoo breach 2",2013-08-01,2016-12-15,3,1,365,3,0,1,0,0,3,2,13,0,0,"3 billion PII stolen, separate from 2014 breach","https://www.nytimes.com/2017/10/03/technology/yahoo-hack-3-billion-users.html","https://www.wired.com/story/yahoo-breach-three-billion-accounts/",NA,NA,NA,NA,NA,NA
11,2365,"US","Russia","Operation Pawn Storm/World Doping Agency",2013-09-30,2014-10-22,3,2,365,2,1,1,0,0,4,2,11,0,0,"Trojan campaign against Blackwater, State Dept, and SAIC","https://www.trendmicro.com/vinfo/us/security/news/cyber-attacks/operation-pawn-storm-fast-facts","https://blog.trendmicro.com/trendlabs-security-intelligence/tag/operation-pawn-storm/",NA,NA,NA,NA,NA,NA
12,2365,"US","Russia","CyberBerkut NATO Websites_A",2014-03-15,2014-03-26,2,3,365,1,1,1,0,0,2,1,11,0,0,"Signal NATO members to avoid intervention in Ukraine","https://www.reuters.com/article/us-ukraine-nato/nato-websites-hit-in-cyber-attack-linked-to-crimea-tension-idUSBREA2E0T320140316","https://www.ft.com/content/b822d5cc-ace6-11e3-8ba3-00144feab7de",NA,NA,NA,NA,NA,NA
13,2365,"US","Russia","Operation Pawn Storm: military networks (fake OWA)",2014-06-02,2015-02-01,3,3,365,2,1,1,0,0,4,2,6,1,0,"Backdoor intrusion in to military networks via spear phishing","https://blog.trendmicro.com/trendlabs-security-intelligence/update-pawn-storm-new-targets-politically-motivated-campaigns/","https://fcw.com/articles/2017/04/25/critical-trendmicro-pawn-storm.aspx",NA,NA,NA,NA,NA,NA
14,2365,"US","Russia","Operation Pawn Storm: Nuclear power plants, newspapers",2014-06-03,2014-12-01,3,1,365,2,1,1,0,0,4,2,3,0,0,"Backdoor intrusion in to several commercial networks via spear phishing","https://blog.trendmicro.com/trendlabs-security-intelligence/update-pawn-storm-new-targets-politically-motivated-campaigns/","https://fcw.com/articles/2017/04/25/critical-trendmicro-pawn-storm.aspx","https://www.computerworld.com/article/2837824/cyberespionage-group-goes-phishing-for-outlook-web-app-users.ht",NA,NA,NA,NA,NA
15,2365,"US","Russia","US Banks hacked",2014-06-04,2014-07-08,3,1,365,1,0,0,0,0,3,2,9,0,0,"Seen as a retaliation on US targeted sanctions on Russians over the Ukraine conflcit","https://www.americanbanker.com/articles/us-banks-caught-up-in-hacking-scheme-tied-to-russians","https://www.nytimes.com/2014/08/28/technology/hackers-target-banks-including-jpmorgan.html",NA,NA,NA,NA,NA,NA
16,2365,"US","Russia","White House hack",2014-10-26,2014-10-28,3,2,365,2,0,1,0,0,3,2,11,0,0,"White House email server compromised, inclduing President Obama's","https://www.washingtonpost.com/world/national-security/hackers-breach-some-white-house-computers/2014/10/28/2ddf2fa0-5ef7-11e4-91f7-5d89b5e8c251_story.html?utm_term=.0195817c8032","https://www.nytimes.com/2015/04/26/us/russian-hackers-read-obamas-unclassified-emails-officials-say.html",NA,NA,NA,NA,NA,NA
17,2365,"US","Russia","State Dept hack",2014-11-15,2014-11-17,3,2,365,2,0,0,0,0,3,2,11,0,0,"State Dept unclassified email system breached and contained","https://www.washingtonpost.com/world/national-security/new-details-emerge-about-2014-russian-hack-of-the-state-department-it-was-hand-to-hand-combat/2017/04/03/d89168e0-124c-11e7-833c-503e1f6394c9_story.html?utm_term=.d19a9fb4a985","https://arstechnica.com/tech-policy/2017/04/russias-hack-of-state-department-was-hand-to-hand-combat/",NA,NA,NA,NA,NA,NA
18,2365,"US","Russia","Yahoo breach 1",2014-11-22,2016-09-22,3,1,365,3,0,1,0,0,3,2,13,1,0,"500 million Yahoo users' PII stolen by Russian hacking group","https://www.nytimes.com/2016/09/23/technology/yahoo-hackers.html","https://slate.com/technology/2016/09/yahoo-hack-in-2014-exposed-500-million-user-credentials-company-confirms.html",NA,NA,NA,NA,NA,NA
49,2630,"US","Iran","Snowglobe",2008-04-02,2011-12-01,3,2,2,3,0,0,0,1,4,2,17,1,0,"Publically available sources claim that NSA targets several high profile targets in Iran, including the foreign ministry, the Atomic Energy Organization of Iran, and several universities conducting nuclear research","https://www.cybereason.com/blog/operation-snowglobe, https://resources.infosecinstitute.com/topic/animal-farm-apt-and-the-shadow-of-france-intelligence/, https://www.eff.org/files/2015/01/28/20150117-spiegel-nsa_example_snowglobe_in_which_a_suspected_french_government_trojan_is_analyzed_to_find_out_if_it_can_be_helpful_for_own_interests_0.pdf",NA,NA,NA,NA,NA,NA,NA
53,2630,"US","Iran","Iran network infiltration",2010-03-14,2010-03-14,3,2,2,3,0,1,0,0,3,2,11,0,0,"Publically available sources claim that  Test of vulnerabilities of Iranian secure networks, precursor to Stuxnet","http://www.cnn.com/2010/WORLD/meast/03/13/iran.cyber.arrests/index.html, https://www.washingtonpost.com/world/national-security/an-american-is-caught-in-irans-spy-game/2012/01/23/gIQAw8Z3LQ_story.html?noredirect=on&utm_term=.aa9740e4a90e",NA,NA,NA,NA,NA,NA,NA
54,2630,"US","Iran","Comodo Hack",2011-03-25,2011-03-27,3,1,630,2,1,0,0,0,1,1,13,1,0,"Iranian state attack on US security company Comodo to trick employees and access sensistive information","https://www.cnet.com/news/comodo-hack-may-reshape-browser-security/","https://www.wired.com/2011/03/comodo-hack/",NA,NA,NA,NA,NA,NA
55,2630,"US","Iran","Operation Newscaster",2011-04-15,2013-05-26,3,1,630,2,0,1,1,0,2,2,2,0,0,"Theft of information from various news outlets through social media","https://www.reuters.com/article/iran-hackers-idUSL1N0OE2CU20140529","https://securityaffairs.co/wordpress/25355/hacking/iranian-hackers-social-media.html",NA,NA,NA,NA,NA,NA
56,2630,"US","Iran","Duqu_A",2011-09-11,2011-12-01,3,3,2,3,0,1,0,1,3,2,14,0,0,"Publically available sources claim that Malware to  gain remote access capabilities. To copy the uranium enriching plant so that the US could map the entire centrifuge set up.","https://www.symantec.com/content/dam/symantec/docs/security-center/white-papers/w32-duqu-11-en.pdf, https://www.mcafee.com/enterprise/en-us/threat-center/duqu.html","https://www.f-secure.com/v-descs/backdoor_w32_duqu.shtml",NA,NA,NA,NA,NA,NA
63,2630,"US","Iran","Las Vegas Sands Hack",2014-02-10,2014-02-12,4.1,1,630,1,0,1,0,0,2,1,2,0,0,"Wiper malware hits Las Vegas Sands compnay for Sheldon Adelsons comments about using nuclear weapons on Iran","https://www.bloomberg.com/news/articles/2014-12-11/iranian-hackers-hit-sheldon-adelsons-sands-casino-in-las-vegas","https://www.theverge.com/2014/12/11/7376249/iran-hacked-sands-hotel-in-february-cyberwar-adelson-israel",NA,NA,NA,NA,NA,NA
78,2652,"US","Syria","Hama visit",2011-07-09,2011-07-09,1,2,652,1,1,1,0,0,2,1,11,0,0,"Retaliation for the the visit of US Ambassador Ford to rebel stronghold in Hama early in the Syrian civil war.","https://www.theatlantic.com/international/archive/2011/07/attention-foreign-media-syrian-e-army-headed-your-way/352981/",NA,NA,NA,NA,NA,NA,NA
87,2710,"US","China","750,000 American zombies",2007-03-01,2010-09-23,2,2,710,1,0,1,0,0,2,2,2,1,0,"Widespread DDoS strikes against various targets vital to the US economy.","http://gatech.wikidot.com/chinese-zombies-in-the-u-s","http://hackspc.com/biggest-cyber-attacks-in-history/",NA,NA,NA,NA,NA,NA
88,2710,"US","China","GhostNet_A",2007-05-27,2009-08-01,3,2,710,2,0,1,0,0,4,1,11,0,0,"Data breach of state secretive information from several government networks","https://www.telegraph.co.uk/news/worldnews/asia/china/5071124/Chinas-global-cyber-espionage-network-GhostNet-penetrates-103-countries.html","https://ora.ox.ac.uk/objects/uuid:6d1260fd-b8ee-4a11-8a5f-e7708d543651/download_file?file_format=application/pdf&safe_filename=Gh0stNet.pdf&type_of_work=Report",NA,NA,NA,NA,NA,NA
89,2710,"US","China","Commerce Sec hack",2007-12-01,2007-12-05,4.2,2,710,2,0,0,0,0,3,1,11,0,0,"Data breaches of several networks containing sensitive inforamation","https://www.wired.com/2008/05/did-chinas-hack/","http://www.nbcnews.com/id/24880526/ns/us_news-security/t/did-chinese-hack-cabinet-secretarys-laptop/#.XFupB1xKiM8",NA,NA,NA,NA,NA,NA
90,2710,"US","China","2008 Campaign hack",2008-08-01,2008-08-04,3,2,710,2,0,1,0,0,1,2,11,0,0,"To assess campaign positions on China and the evolution of potential future US policy","https://thehill.com/policy/technology/304111-report-china-hacked-obama-mccain-campaigns","https://www.theguardian.com/global/2008/nov/07/obama-white-house-usa",NA,NA,NA,NA,NA,NA
91,2710,"US","China","Hikit_A",2008-09-01,2014-10-27,3,2,710,2,0,1,0,0,4,2,13,1,0,"Axiom group launches 6-year information theft campaign against multiple countries including US, Taiwan, and Japan","https://safe.menlosecurity.com/doc/docview/viewer/docN466FB4E6621B14781a1d431fc6aa9e4d5ffbe8054afe02fd2c27d51cace9995172de549a9084","https://www.fireeye.com/blog/threat-research/2012/08/hikit-rootkit-advanced-persistent-attack-techniques-part-2.html",NA,NA,NA,NA,NA,NA
92,2710,"US","China","Byzantine series",2008-10-30,2011-06-30,3,1,710,3,0,1,0,0,4,1,8,1,0,"Data theft campaign against the oil and gas sectors, targets also included lawyers pursing claims against Chinese exporters and energy companies","https://www.csoonline.com/article/2128120/social-engineering/-byzantine-hades--shows-china-s-cyber-chops.html","https://www.reuters.com/article/us-china-usa-cyberespionage/special-report-in-cyberspy-vs-cyberspy-china-has-the-edge-idUSTRE73D24220110414",NA,NA,NA,NA,NA,NA
93,2710,"US","China","FAA hack",2009-02-04,2009-02-10,3,2,710,2,0,1,0,0,3,2,15,1,0,"Chinese hack steals sensitive info from the FAA","https://www.wsj.com/articles/SB124165272826193727","https://www.crn.com/news/security/213402688/faa-computer-hacked-45000-names-accessed.htm",NA,NA,NA,NA,NA,NA
94,2710,"US","China","Seantor Nelson theft",2009-03-01,2009-03-01,3,2,710,2,0,0,0,0,2,1,11,0,0,"To access foreign policy information from a prominent Senator's network","https://miamiherald.typepad.com/nakedpolitics/2009/03/nelson-gets-hacked-and-hacked-off.html",NA,NA,NA,NA,NA,NA,NA
95,2710,"US","China","Lockheed F-35 plans stolen",2009-03-29,2009-04-01,3,1,710,3,0,1,0,0,3,1,6,1,0,"Data breach on Lockeed Martin and its F-35 fighter jet plans","http://www.cnn.com/2009/US/04/21/pentagon.hacked/","https://www.theguardian.com/technology/2014/jul/12/chinese-man-charged-with-hacking-into-us-fighter-jet-plans",NA,NA,NA,NA,NA,NA
96,2710,"US","China","Aurora",2009-06-01,2010-01-01,3,1,710,3,0,1,0,0,3,1,13,0,0,"Google hacked and breached by the Chinese PLA, Tech giant comes forward and admits; a first from the private sector","https://www.wired.com/2010/01/operation-aurora/","https://www.darkreading.com/attacks-and-breaches/google-aurora-hack-was-chinese-counterespionage-operation/d/d-id/1110060",NA,NA,NA,NA,NA,NA
97,2710,"US","China","Night Dragon",2009-11-01,2011-02-11,4.2,1,710,3,0,1,0,0,4,1,8,1,0,"Theft of oil and gas field production systems, field exploration and bidding processes for leases.","https://www.pcworld.com/article/219251/article.html","https://www.forbes.com/sites/williampentland/2011/02/19/night-dragon-attacks-target-technology-in-energy-industry/#4c8bdc4b1d49",NA,NA,NA,NA,NA,NA
98,2710,"US","China","Commerce theft",2009-11-01,2009-11-05,4.4,2,710,2,0,1,0,0,3,1,11,0,0,"Data breach of the Commerce department, sensitive information stolen","https://www.washingtonpost.com/blogs/federal-eye/post/commerce-department-agencys-network-apparently-hacked/2012/01/31/gIQAtmO6kQ_blog.html?utm_term=.59e590c6f4b1","https://abcnews.go.com/International/chinese-hack-us-chamber-commerce-authorities/story?id=15207642",NA,NA,NA,NA,NA,NA
99,2710,"US","China","Htran_A",2010-01-01,2010-02-01,4.4,2,710,2,0,1,0,1,3,1,0,0,0,"Advanced listening device root kit able to capture corporate secrets in unsecured networks","https://www.secureworks.com/research/htran, https://www.symantec.com/security-center/writeup/2011-080812-0817-99",NA,NA,NA,NA,NA,NA,NA
100,2710,"US","China","Shotgiant",2010-03-10,2013-06-13,3,1,2,4,0,1,1,0,4,2,13,1,0,"Publically available sources claim that To determine links between Huawei produced technology and PLA espionage. Secondly, to exploit Huawei technology for future offensive use","https://www.nytimes.com/2014/03/23/world/asia/nsa-breached-chinese-servers-seen-as-spy-peril.html, https://www.reuters.com/article/us-usa-security-china-nsa/nsa-infiltrates-servers-of-china-telecom-giant-huawei-report-idUSBREA2L0PD20140322","https://www.npr.org/transcripts/298335286",NA,NA,NA,NA,NA,NA
101,2710,"US","China","Dancing Panda",2010-04-01,2015-08-10,3,3,710,2,0,1,0,0,4,2,11,0,0,"Top US national security officials emails hacked and read","https://www.nbcnews.com/news/us-news/china-read-emails-top-us-officials-n406046","https://www.theguardian.com/world/2015/aug/10/chinese-national-security-officials-hack",NA,NA,NA,NA,NA,NA
102,2710,"US","China","FDIC Hack",2010-10-01,2012-02-02,3,2,710,2,0,1,0,0,2,2,9,1,0,"Data breach of the FDIC, theft of sensitive and personal informaiton","https://www.reuters.com/article/us-usa-cyber-china-exclusive-idUSKBN14C1UJ","https://money.cnn.com/2016/07/13/technology/china-fdic-hack/index.html",NA,NA,NA,NA,NA,NA
103,2710,"US","China","Intellectual Property Hack",2010-11-03,2015-06-15,3,1,710,3,0,1,0,0,3,2,4,0,0,"APT3 targets US financial and manufacturing sectors for intellectual property","https://www.justice.gov/opa/pr/us-charges-five-chinese-military-hackers-cyber-espionage-against-us-corporations-and-labor","https://www.usatoday.com/story/news/nation/2014/05/19/us-accuses-china-of-cyber-espionage/9273019/",NA,NA,NA,NA,NA,NA
104,2710,"US","China","Energy Dept hack",2011-02-01,2014-01-01,3,2,710,1,0,1,0,0,3,2,8,0,0,"Energy Dept hacked multiple times due to outdated software and patches","https://arstechnica.com/information-technology/2013/12/how-hackers-made-minced-meat-of-department-of-energy-networks/","https://www.computerworld.com/article/2983749/cybercrime-hacking/attackers-hacked-department-of-energy-159-times-in-4-years.html",NA,NA,NA,NA,NA,NA
105,2710,"US","China","Penatgon Raid",2011-03-01,2011-03-10,4.4,3,710,3,0,1,0,0,3,1,11,0,0,"Information theft campaign in the unsecured networks of the DoD","https://www.businessinsider.com/pentagon-admits-24000-files-were-hacked-declares-cyberspace-a-theater-of-war-2011-7","http://www.nydailynews.com/news/national/pentagon-hacked-24-000-files-stolen-foreign-intruders-cyber-atA78:Y78tack-article-1.156334",NA,NA,NA,NA,NA,NA
106,2710,"US","China","Operation Beebus/APT 10",2011-04-12,2013-02-07,3,1,710,3,0,1,0,0,4,2,6,1,0,"China hacks several US defense contractors and steals drone technology","https://www.fireeye.com/blog/threat-research/2013/02/operation-beebus.html","https://www.nytimes.com/2013/09/21/world/asia/hacking-us-secrets-china-pushes-for-drones.html",NA,NA,NA,NA,NA,NA
107,2710,"US","China","White House theft",2011-11-07,2011-11-08,4.4,2,710,1,0,1,0,0,3,1,11,0,0,"Signaling campaign against White House networks","https://www.dailymail.co.uk/news/article-2211230/Chinese-government-hacks-White-House-office-charge-nuclear-launch-codes.html","https://www.bbc.com/news/world-us-canada-19794745",NA,NA,NA,NA,NA,NA
108,2710,"US","China","Mofang",2012-02-04,2016-06-16,3,1,710,3,0,1,0,0,3,2,8,0,0,"Mofang RAT targets and steals information from energy companies","https://foxitsecurity.files.wordpress.com/2016/06/fox-it_mofang_threatreport_tlp-white.pdf","https://www.securityweek.com/chinese-attackers-conduct-cyberespionage-economic-gain",NA,NA,NA,NA,NA,NA
